Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Kevin Fiala,LAK,L,SJS,Yaroslav Askarov,0.8938053097345132,3.4631241410902427,71.5,92.9,78.9,1138.85,79.1,85.3,1.042,3.0,2.375,2.8,2.93,90.4,7.0,4.0,23.0,2.0,3.0,1.3823747222907925,,,2.6483294152338983,2.56546775554336,50.0,82.1,58.7,82.1,7.11,3.55,29.3,0.11,-0.45,6.3,COOL,COOL,HOT,Yellow,Yellow,Yellow,68,91,81,SOG,91,,,,,False
2026-01-07,STL@CHI,8:30 PM,2026-01-08T02:30:00Z,Connor Bedard,CHI,C,STL,Jordan Binnington,0.8745928338762216,3.400142285896524,88.8,91.4,96.0,1263.48,91.3,93.0,1.052,3.0,3.125,2.4,2.79,86.4,13.0,6.0,32.0,2.0,4.0,2.9618378583633946,,,2.408661854525264,2.498611882287618,50.0,57.3,74.8,57.3,12.89,4.4,27.9,-0.11,-1.6,-4.1,COOL,COOL,COOL,Green,Yellow,Yellow,79,90,80,SOG,90,,,,,False
2026-01-07,STL@CHI,8:30 PM,2026-01-08T02:30:00Z,Tyler Bertuzzi,CHI,L,STL,Jordan Binnington,0.8745928338762216,3.400142285896524,88.8,95.9,73.0,1104.21,75.6,83.8,1.041,2.0,2.125,3.0,2.3499999999999996,75.8,8.0,6.0,23.0,4.0,2.0,1.851111238073473,,,2.408661854525264,2.498611882287618,50.0,57.3,67.1,57.3,7.38,4.17,23.5,-0.62,-1.83,0.5,COOL,COOL,COOL,Yellow,Red,Yellow,64,88,90,GOAL,90,,,,,False
2026-01-07,CGY@MTL,6:30 PM,2026-01-08T00:30:00Z,Cole Caufield,MTL,R,CGY,Dustin Wolf,0.8988505747126436,2.903491888919439,48.9,97.5,90.5,1112.45,77.2,91.0,1.049,3.0,2.875,3.0,3.0,91.9,7.0,3.0,28.0,2.0,2.0,1.7825213875058454,,,2.448442429022082,2.425078864353312,50.0,63.3,65.2,63.3,9.24,4.24,30.0,2.24,1.24,2.0,HOT,WARM,HOT,Green,Yellow,Yellow,78,89,79,SOG,89,,,,🔥 HOT POINTS,True
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Adrian Kempe,LAK,R,SJS,Yaroslav Askarov,0.8938053097345132,3.4631241410902427,71.5,92.1,89.0,1151.41,81.1,88.8,1.047,2.0,2.5,3.8,2.63,81.8,6.0,4.0,27.0,2.0,2.0,1.8174678857912157,,,2.6483294152338983,2.56546775554336,50.0,82.1,66.7,82.1,8.26,3.41,26.3,2.26,-0.59,-0.7,HOT,COOL,COOL,Green,Red,Yellow,81,88,81,SOG,88,,,,🔥 HOT POINTS,True
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Dylan Guenther,UTA,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,94.5,84.3,1034.09,66.9,85.4,1.042,4.0,4.0,4.6,4.21,99.0,11.0,7.0,38.0,5.0,2.0,2.512364596292138,,,2.0311549575810677,1.5467956224672907,50.0,14.3,73.0,14.3,7.47,3.6,42.1,-3.53,-3.4,4.1,COOL,COOL,HOT,Green,Green,Green,66,87,86,SOG,87,,,,,False
2026-01-07,CGY@MTL,6:30 PM,2026-01-08T00:30:00Z,Nick Suzuki,MTL,C,CGY,Dustin Wolf,0.8988505747126436,2.903491888919439,48.9,97.1,98.6,1258.12,90.6,96.3,1.056,2.0,2.125,3.2,2.42,77.8,9.0,5.0,24.0,3.0,1.0,1.4831217653268791,,,2.448442429022082,2.425078864353312,50.0,63.3,60.2,63.3,12.21,4.17,24.2,3.21,-0.83,0.2,HOT,COOL,COOL,Green,Red,Yellow,85,86,83,SOG,86,,,,🔥 HOT POINTS,True
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Alex Laferriere,LAK,R,SJS,Yaroslav Askarov,0.8938053097345132,3.4631241410902427,71.5,83.4,66.1,1005.27,63.8,73.4,1.028,3.0,3.0,2.8,2.93,90.4,6.0,3.0,34.0,3.0,2.0,1.7718715393133997,,,2.6483294152338983,2.56546775554336,50.0,82.1,65.0,82.1,4.92,2.41,29.3,-1.08,-0.59,-4.7,COOL,COOL,COOL,Red,Yellow,Red,61,85,78,SOG,85,,,,,False
2026-01-07,CGY@MTL,6:30 PM,2026-01-08T00:30:00Z,Juraj Slafkovsk,MTL,L,CGY,Dustin Wolf,0.8988505747126436,2.903491888919439,48.9,94.6,86.0,1086.07,72.8,87.2,1.045,2.0,2.125,2.4,2.14,66.7,12.0,6.0,22.0,4.0,3.0,1.5138347677384991,,,2.448442429022082,2.425078864353312,50.0,63.3,61.2,63.3,7.93,3.7,21.4,-4.07,-2.3,-0.6,COOL,COOL,COOL,Green,Red,Yellow,68,80,85,GOAL,85,,,,,False
2026-01-07,DAL@WSH,6:00 PM,2026-01-08T00:00:00Z,Jason Robertson,DAL,L,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,99.6,97.1,1192.26,84.6,95.8,1.055,2.5,3.125,3.4,2.815,87.9,12.0,5.0,34.0,2.0,5.0,2.301554828150573,,,2.5679696042415614,2.378798486505196,50.0,64.3,71.1,64.3,11.79,5.16,28.15,-0.21,0.16,-5.85,COOL,COOL,COOL,Green,Red,Yellow,75,85,77,SOG,85,,,,,False
